Gender,First Name (Devanagari),Middle Name (Devanagari),Last Name (Devanagari),First Name (Roman),Middle Name (Roman),Last Name (Roman),Alternative Roman Spellings
0,लक्ष्मी,,भट्ट,Laxmi,,Bhatt,"Laxmi  Bhaatt, Laxmi . Bhatt, L. Bhatt"
1,शेसव,कुमार,वर्मा,Shesav,Kumar,Verma,"Shesav Verma, Shesav Kumar Verma, Shesav Kumar Vermaa"
0,गुलाव,वती,सरदार,Gulawati,,Sardar,"G. Sardar, Gulawati  Saardaar, Gulawati Sardar"
1,चन्द्र,किशोर,साह,Chandra,Kishore,Shah,"Chandra Kishore Shaah, Chandra Sha, C. Shah"
0,सविता,,लामा,Savita,,Lama,"Savita  Laamaa, Savita Lam, Savita Lama"
1,नविन,कुमार,ज्ञवाली,Navin,Kumar,Gyawali,"N. Gyawali, Navin Kumar Gyaawaali, Navin Gyawal"
0,सिता,देवी,दाहाल,sita,devi,dahal,"sita dahal, sita d. dahal, s. dahal"
1,कर्ण,बहादुर,खत्री,Karan,Bahadur,Khatri,"K. Khatri, Karan B. Khatri, Karan Bahadur Khaatri"
1,दिल,कृष्ण,धेके,Dil,Krishna,Dhake,"Dil K. Dhake, Dil Krishna Dhake, Dil Dake"
1,उमेश,,श्रेष्ठ,Umesh,,Shrestha,"Umesh Shrestha, Umesh . Shrestha, Umesh  Shrestha"
0,तारा,देवी,गुरुङग,Tara,Devi,Gurung,"T. Gurung, Tara Devi Gurung, Tara D. Gurung"
0,साजहान,,खातुन,Sazhan,,Khatun,"S. Khatun, Sazhan Katun, Sazhan . Khatun"
0,रुबी,कुमारी,मेहता,Ruby,Kumari,Mehta,"Ruby Mehta, Ruby Meta, Ruby K. Mehta"
1,दान,बहादुर,विश्‍वकर्मा,charity,brave,vishwakarma,"charity brave vishwakarma, charity vishwakarm, charity brave vishwaakaarmaa"
0,सम्‍झना,,थापा,Samjna,,Thapa,"Samjna Thapa, Samjna . Thapa, Samjna Tapa"
0,करिना,,तामाङ,Kareena,,Tamang,"Kareena  Tamang, Kareena . Tamang, Kareena  Taamaang"
0,जौ,माया,घर्ति,barley,maya,gharti,"barley ghart, barley maya gharti, barley garti"
0,उषा,कुमारी,घिमिरे,Usha,Kumari,Ghimire,"Usha K. Ghimire, Usha Ghimire, Usha Gimire"
0,शोभा,कुवर,क्षेत्री,Shobha,Kuwar,Kshetri,"Shobha Kuwar Kshetri, Shobha Kshetri, S. Kshetri"
1,राजेन्द्र,,भण्डारी,Rajendra,,Bhandari,"Rajendra Bhandari, Rajendra Bhandar, R. Bhandari"
1,सिद्धि,कुमार,श्रेष्‍ठ,siddhi,kumar,shreshtha,"siddhi kumar shreshthaa, siddhi shreshtha, s. shreshtha"
0,कमला,,राई,Kamla,,Rai,"Kamla  Raai, Kamla . Rai, Kamla  Rai"
0,फूलमाया,,श्रेष्‍ठ,phoolmaya,,best,"phoolmaya . best, phoolmaya best, p. best"
1,उमेश,नारायण,साह,Umesh,Narayan,Shah,"Umesh Shah, U. Shah, Umesh N. Shah"
1,सुनील,,राजवंशी,Sunil,,Rajvanshi,"Sunil  Raajvaanshi, S. Rajvanshi, Sunil . Rajvanshi"
1,केलभिन,,मालाकार,Kelvin,,Malakar,"K. Malakar, Kelvin  Maalaakaar, Kelvin  Malakar"
1,सुबास,,परियार,Subas,,Pariyar,"Subas Pariyar, S. Pariyar, Subas  Paariyaar"
1,मिन्टु,,थारु,mintu,,tharu,"mintu taru, m. tharu, mintu . tharu"
0,चन्द्रा,देवी,धामी,chandra,devi,dhami,"chandra dhami, chandra dham, chandra devi dhaami"
1,नेत्रलाल,,बि.क.,Netralal,,B.K.,"Netralal . B.K., Netralal  B.K., N. B.K."
1,पेमा,रेन्जे,शेर्पा,Pema,Renze,Sherpa,"Pema Sherp, Pema Renze Sherpaa, Pema Renze Sherpa"
0,प्रभाव,देवी,केवट,Prabhav,Devi,Kevat,"Prabhav Devi Kevaat, P. Kevat, Prabhav D. Kevat"
0,चुरमती,,पुनमगर,Churmati,,Punmagar,"Churmati  Punmaagaar, Churmati Punmagar, C. Punmagar"
1,भोज,बहादुर,जिरेल,Bhoj,Bahadur,Jirel,"Bhoj B. Jirel, Bhoj Bahadur Jirel, Bhoj Jire"
0,खगि,सरा,आले,the,corner,house,"the ouse, the hous, the corner house"
0,रिंकु,,देवी,rinku,,devi,"r. devi, rinku devi, rinku . devi"
1,मकमान,,कामी,Makaman,,Kami,"Makaman Kam, Makaman  Kami, Makaman  Kaami"
0,बसन्ती,कुमारी,रावल,Basanti,Kumari,Rawal,"Basanti Kumari Rawal, B. Rawal, Basanti Rawa"
1,अजिवुल,,मसिफ,Ajiwul,,Massif,"Ajiwul Massif, Ajiwul Massi, Ajiwul  Maassif"
1,प्रेम,बहादुर,राना,Prem,Bahadur,Rana,"Prem Rana, P. Rana, Prem Bahadur Rana"
0,निलु,,श्रेस्ठ,Nilu,,Shrestha,"Nilu Sresta, Nilu  Shresthaa, Nilu Shresth"
0,देवा,राउत,क्षेत्री,Deva,Raut,Chhetri,"Deva R. Chhetri, Deva Raut Chhetri, Deva Chhetr"
0,राधा,देवी,साह,Radha,Devi,Shah,"Radha Devi Shaah, Radha Sha, Radha D. Shah"
1,दिलीप,,पाईजा,Dilip,,Paija,"Dilip  Paaijaa, Dilip Paij, D. Paija"
1,रुस्तम,,अंसारी,Rustam,,Ansari,"Rustam  Ansari, Rustam  Ansaari, Rustam Ansar"
1,पदम,,भुल,padam,,bhul,"padam bhul, p. bhul, padam bhu"
0,पार्वती,,वर्मा,Parvati,,Verma,"Parvati  Vermaa, Parvati  Verma, Parvati Verm"
0,तनु,,गुरुङ्ग,Tanu,,Gurung,"Tanu  Gurung, Tanu Gurung, T. Gurung"
1,चन्द्र,मान,बस्नेत,Chandra,Maan,Basnet,"C. Basnet, Chandra Maan Baasnet, Chandra Basnet"
0,चन्द्रा,,चन्द,chandra,,chand,"c. chand, chandra  chaand, chandra cand"
1,कृष्ण,राज,भट्ट,Krishna,Raj,Bhatt,"Krishna Batt, K. Bhatt, Krishna Bhatt"
1,लोक,राज,रेग्मी,Lok,Raj,Regmi,"Lok Raj Regmi, Lok Regm, Lok R. Regmi"
1,हेम,बहादुर,गुरुङ,hem,bahadur,gurung,"h. gurung, hem bahadur gurung, hem gurun"
1,अजय,,बज्राचार्य,Ajay,,Bajracharya,"Ajay  Baajraachaaryaa, Ajay  Bajracharya, Ajay  Bajracharia"
0,सन,माया,तामाङ्ग,sun,maya,tamang,"sun maya tamang, s. tamang, sun m. tamang"
0,मञ्जु,,खड्का,Manju,,Khadka,"Manju Khadk, Manju Kadka, Manju . Khadka"
1,सुरेन्द्र,कुमार,श्रेष्ठ,Surendra,Kumar,Shrestha,"Surendra Kumar Shrestha, Surendra Shresth, Surendra Shrestha"
1,प्रताप,,बुढाथोकी,Pratap,,Budhathoki,"Pratap  Budhathoki, Pratap  Budhaathoki, Pratap Budhathok"
1,रने,,पार्की,Rane,,Park,"Rane . Park, Rane  Paark, Rane Par"
1,दावा,धार्के,शेर्पा,Dawa,Dharke,Sherpa,"Dawa Dharke Sherpa, Dawa Serpa, Dawa Sherpa"
0,विद्या,,गौतम,Vidya,,Gautam,"Vidya Gautam, Vidya  Gaautaam, Vidya Gauta"
0,चन्द्रा,देवी,मौनी,Chandra,Devi,Mouni,"Chandra D. Mouni, Chandra Mouni, Chandra Devi Mouni"
1,चन्द्र,बहादुर,बोगटी,Chandra,Bahadur,Bogti,"C. Bogti, Chandra Bogt, Chandra Bahadur Bogti"
0,सरिता,,अधिकारी,Sarita,,Adhikari,"Sarita Adikari, Sarita . Adhikari, Sarita Adhikari"
1,अइत,बहादुर,श्रेष्‍ठ,ait,bahadur,shreshtha,"ait bahadur shreshthaa, ait shreshtha, a. shreshtha"
1,सागर,,तामाङ,Sagar,,Tamang,"Sagar Tamang, S. Tamang, Sagar Taman"
1,मुरारी,राज,चौधरी,Murari,Raj,Chowdhary,"Murari Cowdary, Murari Raj Chowdhaary, Murari Chowdhar"
0,मान,माया,लिम्बु,Maan,Maya,Limbu,"M. Limbu, Maan Maya Limbu, Maan Limb"
0,रितु,,जि.सी.,Ritu,,G.C.,"Ritu . G.C., R. G.C., Ritu G.C"
1,गोविन्द,प्रसाद,शर्मा,Govind,Prasad,Sharma,"Govind Prasad Shaarmaa, Govind P. Sharma, Govind Sarma"
0,बबी,कुमारी,मणडल,Babi,Kumari,Mandal,"B. Mandal, Babi Kumari Mandal, Babi K. Mandal"
0,जिलाई,,खटिक,District,,Khatik,"District Khati, District  Khatik, District Khatik"
1,टेक,बहादुर,खत्री,Tek,Bahadur,Khatri,"Tek Bahadur Khatri, Tek B. Khatri, T. Khatri"
0,मिरा,गुरुङ,श्रेष्‍ठ,Mira,Gurung,Best,"M. Best, Mira G. Best, Mira Gurung Best"
1,अम्‍बर,बहादुर,गोले,Ambar,Bahadur,Gole,"Ambar Gole, Ambar Gol, Ambar B. Gole"
0,देव,कलिया,लोहारीन,Dev,Kaliya,Loharin,"Dev Lohari, Dev Loharin, Dev Loarin"
0,मखु,माया,तामाङ,Makhu,Maya,Tamang,"M. Tamang, Makhu Tamang, Makhu M. Tamang"
0,लिला,,मल्ल,Lila,,Mall,"Lila  Mall, Lila . Mall, Lila Mal"
1,सांग,बहादुर,राई,Song,Bahadur,Rai,"Song Rai, Song Ra, S. Rai"
0,रेजिना,,सापकोटा,Regina,,Sapkota,"Regina Sapkota, Regina . Sapkota, R. Sapkota"
0,तारा,देवी,दनुवार,Tara,Devi,Danuwar,"Tara Danuwa, Tara Devi Danuwar, Tara Danuwar"
0,कृष्ण,माया,भुजेल,Krishna,Maya,Bhujel,"Krishna M. Bhujel, K. Bhujel, Krishna Bhujel"
0,माया,,चन्द,maya,,chand,"maya  chand, maya  chaand, maya chan"
1,उमेश,कुमार,शाही,Umesh,Kumar,Shahi,"Umesh Shah, Umesh Kumar Shahi, Umesh Sai"
0,कविता,,देवी,Kavita,,Devi,"Kavita Dev, Kavita  Devi, Kavita . Devi"
0,जुना,,आलेमगर,Juna,,Alemgar,"Juna Alemga, Juna  Alemgar, J. Alemgar"
1,लोतो,,पुन,Lotto,,Re,"Lotto  Re, Lotto Re, L. Re"
0,कमल,कुमारी,कमानी),Kamal,Kumari,Kamani),"Kamal K. Kamani), Kamal Kamani), Kamal Kumari Kamani)"
0,अनिता,,घर्तीमगर,Anita,,Ghartimagar,"Anita Ghartimagar, Anita . Ghartimagar, A. Ghartimagar"
1,गोपाल,,विश्वकर्मा,Gopal,,Vishwakarma,"Gopal Viswakarma, Gopal . Vishwakarma, Gopal  Vishwakarma"
1,नवल,किशोर,हजाम,Nawal,Kishore,Barber,"Nawal K. Barber, Nawal Kishore Baarber, Nawal Barbe"
1,उत्तम,,घिमिरे,Uttam,,Ghimire,"Uttam  Ghimire, Uttam Gimire, Uttam Ghimir"
1,नगेन्द्र,तुम्सा,लिम्बु,Nagendra,Tumsa,Limbu,"N. Limbu, Nagendra T. Limbu, Nagendra Limb"
0,अनिशा,,थापा,anisha,,thapa,"anisha thap, anisha  thaapaa, anisha thapa"
1,जोगिन्द्र,,सहनी,joginder,,sahani,"joginder sahan, joginder . sahani, joginder sahani"
0,सुप्रीया,,रोकाय,supriya,,rokay,"supriya  rokai, s. rokay, supriya  rokay"
0,सुस्मा,,लिम्बु,Susma,,Limbu,"Susma Limb, S. Limbu, Susma  Limbu"
0,दुर्गी,थापा,मगर,Durgi,Thapa,Magar,"D. Magar, Durgi Magar, Durgi Thapa Magar"
1,अशोक,,यादव,Ashok,,Yadav,"Ashok  Yadav, A. Yadav, Ashok . Yadav"
1,टेक,बहादुर,ठकुरी,Tech,Bahadur,Thakuri,"Tech Bahadur Thakuri, Tech Thakuri, Tech B. Thakuri"
0,अशिया,कुमारी,मंडल,Ashiya,Kumari,Mandal,"Ashiya Manda, Ashiya Kumari Mandal, Ashiya Mandal"
1,करे,,कामी,do,,lusty,"do lusty, do lust, d. lusty"
0,डिला,,खड्का,Dila,,Khadka,"Dila Kadka, D. Khadka, Dila Khadka"
1,अमृत,,खड्गी,Amrit,,Khadgi,"Amrit  Khaadgi, Amrit Khadg, A. Khadgi"
1,मिन,बहादुर,डाङ्गी,Min,Bahadur,Dangi,"Min Dang, Min B. Dangi, Min Dangi"
1,ज्ञानु,,डगौरा,Gyan,,Dagaura,"Gyan  Daagaauraa, G. Dagaura, Gyan Dagaura"
1,अशोक,,वली,Ashok,,Wali,"Ashok  Waali, Ashok  Wali, A. Wali"
1,इसुक,अली,धुनिया,Ishq,Ali,Dhunia,"Ishq A. Dhunia, Ishq Ali Dhuniaa, I. Dhunia"
0,ज्योती,माया,मगर,The,light,sleep,"The light sleep, The slee, The sleep"
0,थुमी,,कुँवर,Thumi,,Kunwar,"Thumi Kunwar, Thumi  Kunwar, T. Kunwar"
0,विन्दु,,श्रेष्‍ठ,point,is,best,"point best, point bes, p. best"
0,गोमा,,रिजाल,goma,,rizal,"goma rizal, goma . rizal, goma  rizaal"
1,देवेन्द्र,प्रसाद,उपाध्याय,Devendra,Prasad,Upadhyay,"Devendra Prasad Upadhiai, Devendra P. Upadhyay, Devendra Upadyay"
0,पुजा,कुमारी,राउत,Puja,Kumari,Raut,"Puja K. Raut, Puja Kumari Raut, P. Raut"
1,भुवान,सिंह,लिम्बु,Bhuwan,Singh,Limbu,"Bhuwan S. Limbu, B. Limbu, Bhuwan Singh Limbu"
0,सृजना,,माझी,srujana,,majhi,"srujana majhi, srujana  majhi, srujana . majhi"
1,सिता,राम,खनाल,Sita,Ram,Khanal,"Sita R. Khanal, Sita Khana, Sita Khanal"
0,उमा,,बिष्‍ट,Uma,,Bisht,"Uma . Bisht, Uma  Bisht, Uma Bisht"
0,चन्द्र,माया,प्रधान,Chandra,Maya,Pradhan,"Chandra M. Pradhan, Chandra Maya Praadhaan, Chandra Maya Pradhan"
1,इन्द्र,बहादुर,थापा,Indra,Bahadur,Thapa,"Indra Thapa, Indra Thap, Indra Bahadur Thapa"
1,सुनिल,,गुरुङ,Sunil,,Gurung,"Sunil  Gurung, Sunil Gurun, Sunil . Gurung"
0,दिपिका,,पौडेल(डि.सी),Dipika,,Paudel(D.C),"Dipika Paudel(D.C, Dipika . Paudel(D.C), Dipika  Paudel(D.C)"
0,विष्णु,माया,पौडेल,Vishnu,Maya,Paudel,"Vishnu M. Paudel, Vishnu Maya Paaudel, Vishnu Paudel"
1,बल,बहादुर,सार्की,Bal,Bahadur,Sarki,"Bal Bahadur Saarki, Bal Sark, Bal Sarki"
1,प्रकाश,डगौरा,थारु,Prakash,Dagaura,Tharu,"Prakash Tharu, Prakash Dagaura Tharu, P. Tharu"
1,निरञ्‍जन,,सिग्‍देल,Niranjan,,Sigdel,"Niranjan Sigde, Niranjan  Sigdel, N. Sigdel"
0,प्रनिया,,देवी,praniya,,devi,"praniya . devi, p. devi, praniya devi"
1,पृथी,,थापा,prithi,,thapa,"prithi  thapa, prithi tapa, prithi thap"
0,सरस्वती,,सुद्धकार,Saraswati,,Sudhakar,"Saraswati  Sudhakar, Saraswati Sudhaka, Saraswati Sudakar"
0,आस,माया,मानन्‍धर,hope,maya,manandhar,"hope manandar, hope m. manandhar, hope manandha"
0,शारदा,,सापकोटा,Sharda,,Sapkota,"Sharda Sapkota, Sharda  Saapkotaa, Sharda . Sapkota"
0,हीका,,रोकामगर,Heeka,,Rokamagar,"Heeka Rokamaga, Heeka  Rokaamaagaar, Heeka Rokamagar"
0,पवित्रा,,कार्की,Pavitra,,Karki,"Pavitra  Karki, Pavitra Karki, Pavitra  Kaarki"
1,नन्द,राज,पोखरेल,Nand,Raj,Pokharel,"Nand Raj Pokharel, Nand Pokarel, Nand Pokharel"
0,मन्दीरा,खडका,भट्टराइ,Mandira,Khadka,Bhattarai,"Mandira Khadka Bhaattaaraai, Mandira Battarai, Mandira Bhattarai"
1,प्रदिप,कुमार,मगर,Pradeep,Kumar,Magar,"P. Magar, Pradeep Maga, Pradeep Magar"
1,जनक,विर,मगर,Janak,Vir,Magar,"Janak Magar, Janak Vir Maagaar, Janak Maga"
0,कुसुम,,देवी,Kusum,,Devi,"Kusum Devi, Kusum Dev, Kusum  Devi"
1,रामअशिस,मण्‍डल,केवटत्त,Rama,Ashish,Kevattatt,"R. Kevattatt, Rama Ashish Kevattatt, Rama Kevattat"
1,भानुभक्त,,पाण्डे,Bhanubhakt,,Pandey,"Bhanubhakt Pande, Bhanubhakt . Pandey, Bhanubhakt  Paandey"
1,बम,बहादुर,थापा,Bam,Bahadur,Thapa,"Bam Thapa, Bam B. Thapa, Bam Thap"
0,सुमित्रा,,चेम्जोङ,Sumitra,,Chemjong,"Sumitra Cemjong, Sumitra Chemjong, Sumitra Chemjon"
1,रामप्रताप,राय,दाहा,Rampratap,Rai,Daha,"Rampratap Daa, Rampratap Rai Daahaa, Rampratap Daha"
0,सम्झना,,थारु,remember,,tharu,"remember tharu, remember . tharu, remember  tharu"
1,दिनानाथ,,पासवान,Dinanath,,Paswan,"Dinanath . Paswan, Dinanath  Paswan, Dinanath Paswan"
1,सत्‍य,नारायण,महतो,satya,narayan,mahato,"satya narayan mahato, satya narayan maahaato, satya mahato"
0,रन्जु,कुमारी,सदाय,Ranju,Kumari,Saday,"R. Saday, Ranju K. Saday, Ranju Sada"
0,निर्मला,कुमारी,यादव,Nirmala,Kumari,Yadav,"N. Yadav, Nirmala Yada, Nirmala K. Yadav"
1,विष्‍णु,कुमार,न्यौपाने,Vishnu,Kumar,Nyupane,"Vishnu Nyupan, Vishnu Kumar Nyupaane, Vishnu Kumar Nyupane"
0,धन,कुमारी,सिंजाली,Dhan,Kumari,Sinjali,"Dhan Kumari Sinjali, Dhan K. Sinjali, Dhan Sinjali"
0,छेम,कुमारी,(लिम्बु),Chhem,Kumari,(Limbu),"Chhem Kumari (Limbu), Chhem (Limbu, Chhem K. (Limbu)"
0,लक्ष्मी,,देवी,Laxmi,,Devi,"Laxmi Devi, Laxmi Dev, L. Devi"
1,जगत,बहादुर,कार्की,Jagat,Bahadur,Karki,"Jagat B. Karki, Jagat Kark, Jagat Karki"
0,धन,कुमारी,पुन,dhan,kumari,re,"d. re, dhan re, dhan r"
0,सुकु,माया,सिंतान,Suku,Maya,Sintan,"Suku Sintan, Suku Maya Sintan, S. Sintan"
0,उमा,कार्की,(थापा),Uma,Karki,(Thapa),"Uma (Thapa, U. (Thapa), Uma K. (Thapa)"
0,विष्णु,माया,नगरकोटी,Vishnu,Maya,Nagarkoti,"Vishnu Nagarkot, Vishnu Maya Naagaarkoti, V. Nagarkoti"
1,खडक,बहादुर,बोहरा,Khadak,Bahadur,Bohra,"K. Bohra, Khadak Bohra, Khadak Bahadur Bohraa"
0,गोपी,,दाहाल,gopi,,dahal,"gopi . dahal, gopi  dahal, gopi daha"
1,रौशन,,मंसुर,Roshan,,Mansoor,"Roshan  Maansoor, Roshan Mansoor, R. Mansoor"
1,लक्ष्‍मण,मोची,चमार,Laxman,Cobbler,Chamar,"Laxman Chama, Laxman C. Chamar, Laxman Chamar"
0,राधा,,शर्मा,Radha,,Sharma,"Radha  Shaarmaa, Radha Sharm, Radha  Sharma"
1,लुद्र,बहादुर,राना,Ludra,Bahadur,Rana,"Ludra Bahadur Raanaa, Ludra Rana, Ludra B. Rana"
0,रक्षा,ओझा,अधिकारी,Defense,Exorcist,Officer,"Defense Exorcist Officer, D. Officer, Defense E. Officer"
0,रीता,,बुढाथोकी,Rita,,Budhathoki,"R. Budhathoki, Rita  Budhathoki, Rita Budhathok"
1,आषिस,,के.सी,Ashish,,K.C,"Ashish  K.C, Ashish . K.C, Ashish K.C"
1,कृष्‍ण,प्रसाद,अर्याल,Krishna,Prasad,Aryal,"Krishna Aryal, Krishna Prasad Arial, K. Aryal"
1,सनरजित,,मेहता,sanrajit,,mehta,"sanrajit  mehta, sanrajit meht, s. mehta"
0,कमला,कुमारी,शाही,kamla,kumar,shahi,"k. shahi, kamla kumar shaahi, kamla shah"
1,दिलीप,बहादुर,बम,Dilip,Bahadur,Bam,"Dilip Ba, Dilip B. Bam, Dilip Bam"
1,मुकदर,अली,सैयद,Muqdar,Ali,Syed,"Muqdar Sye, Muqdar Ali Syed, Muqdar A. Syed"
1,मनोज,प्रसाद,पंडित,Manoj,Prasad,Pandit,"Manoj P. Pandit, Manoj Pandit, Manoj Prasad Paandit"
0,बवीता,,जयस्वाल,Bavita,,Jaiswal,"Bavita . Jaiswal, Bavita  Jaiswal, Bavita Jaiswal"
0,सुस्मिता,,अछामी,Susmita,,Achhami,"Susmita  Achhami, S. Achhami, Susmita Acami"
0,सोनिया,देबी,राउते,Sonia,Devi,Raute,"Sonia Raute, Sonia Devi Raute, Sonia Devi Raaute"
1,दिपक,,क्षेत्री,Deepak,,Kshetri,"Deepak . Kshetri, Deepak Ksetri, Deepak Kshetr"
0,ओम,देवी,वस्याल,Om,Devi,Vasyal,"Om Devi Vasial, Om Devi Vasyal, Om Vasyal"
1,सोनालाल,,महतो,Sonalal,,Mahato,"Sonalal Mahat, Sonalal Mahato, Sonalal  Maahaato"
0,उर्मीला,कुमरी,देवी,Urmila,Kumari,Devi,"Urmila Kumari Devi, Urmila Devi, Urmila K. Devi"
1,मिन,बहादुर,गुरुङ्ग,Min,Bahadur,Gurung,"Min Gurung, Min Gurun, Min Bahadur Gurung"
0,बेद,कुमारी,भट्ट,Veda,Kumari,Bhatt,"Veda Kumari Bhatt, Veda Bhatt, Veda Bhat"
1,मंगल,सि.,बोहरा,Mangal,S.,Bohra,"Mangal Bohra, Mangal Bohr, Mangal S. Bohraa"
1,दिवस,,गैरे,Divas,,Garre,"Divas  Garre, Divas Garre, D. Garre"
0,जमुना,,भुसला,jamuna,,bhusla,"jamuna  bhuslaa, j. bhusla, jamuna  bhusla"
1,दुर्गा,लाल,श्रेष्ठ,Durga,Lal,Shrestha,"Durga Lal Shresthaa, D. Shrestha, Durga Shresth"
0,सुनिता,,चौधरी,Sunita,,Chowdhary,"Sunita Cowdary, Sunita . Chowdhary, Sunita  Chowdhaary"
1,तारा,बहादुर,नेपाली,Tara,Bahadur,Nepali,"T. Nepali, Tara Bahadur Nepaali, Tara Nepali"
1,धन,बहादुर,मगर,Dhan,Bahadur,Magar,"Dhan Magar, Dhan Bahadur Maagaar, Dhan B. Magar"
1,राधेश्याम,,गडरिया,Radheshyam,,Shepherd,"Radheshyam Shepher, Radheshyam . Shepherd, Radheshyam Shepherd"
0,रसिना,,अर्याल,Rasina,,Aryal,"Rasina  Aryal, Rasina  Arial, Rasina  Aryaal"
0,लिला,देवी,नेपाल,Lila,Devi,Nepal,"Lila Nepa, Lila D. Nepal, Lila Devi Nepal"
1,राम,प्रकाश,यादव,Ram,Prakash,Yadav,"Ram Yada, Ram Yadav, R. Yadav"
0,सुनिता,,तिवारी,sunita,,tiwari,"sunita  tiwari, sunita tiwar, s. tiwari"
0,नन्दाकली,,बि.क.,Nandkali,,Bk.,"Nandkali  Bk., Nandkali . Bk., Nandkali Bk"
1,टिका,,पोख्रेल,Tika,,Pokhrel,"Tika Pokrel, Tika . Pokhrel, Tika Pokhre"
1,टिकै,,खडका,Tikka,,Khadka,"T. Khadka, Tikka Khadka, Tikka  Khadka"
0,सुशिला,,मण्डल,Sushila,,Mandal,"Sushila  Mandal, Sushila . Mandal, Sushila  Maandaal"
0,सुमित्रा,,श्रेष्ठ,sumitra,,shrestha,"sumitra sresta, sumitra  shrestha, sumitra shrestha"
1,जंगली,,धामी,Wild,,Dhami,"Wild . Dhami, Wild  Dhami, Wild Dhami"
1,हरि,बहादुर,महर्जन,Hari,Bahadur,Maharjan,"Hari Maarjan, Hari Maharjan, Hari Bahadur Maahaarjaan"
1,फुलगेन,,पासवान,Fulgen,,Paswan,"Fulgen Paswan, Fulgen Paswa, Fulgen  Paswan"
0,रोजी,,श्रेष्ठ,Rosie,,Shrestha,"Rosie Sresta, R. Shrestha, Rosie Shrestha"
0,पुजा,,घोरसाईने,Pooja,,Ghorsain,"Pooja Gorsain, Pooja Ghorsain, P. Ghorsain"
1,भिम,बहादुर,थापा,Bhim,Bahadur,Thapa,"Bhim Tapa, B. Thapa, Bhim Thapa"
1,टोप,बहादुर,बस्नेत,Top,Bahadur,Basnet,"Top B. Basnet, Top Basne, Top Basnet"
0,निर्मला,,नेपाली,Nirmala,,Nepali,"Nirmala . Nepali, N. Nepali, Nirmala Nepal"
0,कुइचनी,,थरुनी,Kuichni,,Tharuni,"Kuichni  Tharuni, Kuichni Tharuni, Kuichni . Tharuni"
0,रश्मीता,,थापा,Rashmita,,Thapa,"Rashmita  Thaapaa, Rashmita Tapa, Rashmita . Thapa"
0,अमिरा,देवि,मंडल,Amira,Devi,Mandal,"Amira Devi Maandaal, A. Mandal, Amira Mandal"
0,रेखा,कुमारी,राजवंशी,Rekha,Kumari,Rajvanshi,"Rekha K. Rajvanshi, Rekha Rajvansh, Rekha Kumari Raajvaanshi"
1,झिगुंर,,यादव,Jhigun,,Yadav,"Jhigun  Yadav, J. Yadav, Jhigun  Yaadaav"
